Date,Open,High,Low,Close,Adj Close,Volume
28-03-22,2.65,2.66,2.62,2.65,2.65,26775400
29-03-22,2.66,2.66,2.61,2.64,2.64,22059500
30-03-22,2.65,2.66,2.62,2.66,2.66,24398900
31-03-22,2.66,2.68,2.64,2.64,2.64,30624700
01-04-22,2.64,2.68,2.64,2.65,2.65,24932500
04-04-22,2.65,2.66,2.64,2.64,2.64,11142600
05-04-22,2.65,2.67,2.64,2.66,2.66,17534800
06-04-22,2.64,2.67,2.63,2.66,2.66,13931600
07-04-22,2.65,2.66,2.63,2.66,2.66,23082100
08-04-22,2.65,2.65,2.62,2.65,2.65,16751700
11-04-22,2.64,2.64,2.62,2.64,2.64,16828900
12-04-22,2.63,2.63,2.6,2.61,2.61,18350200
13-04-22,2.62,2.64,2.61,2.63,2.63,18136800
14-04-22,2.62,2.64,2.61,2.61,2.61,21460300
18-04-22,2.61,2.61,2.58,2.58,2.58,19142500
19-04-22,2.59,2.61,2.58,2.58,2.58,17759200
20-04-22,2.6,2.62,2.59,2.6,2.6,18460200
21-04-22,2.61,2.67,2.61,2.66,2.66,34555397
